filename,ControllerVersion,LogicOutput,AmpHiCapLowNoise,xDimDet,mode,exp_sec,VChipXdim,VChipYdim,yDimDet,date,VirtualChipFlag,Spare_1,noscan,DetTemperature,DetType,xdim,stdiode,DelayTime,ShutterControl,AbsorbLive,AbsorbMode,CanDoVirtualChipFlag,ThresholdMinLive,ThresholdMinVal,ThresholdMaxLive,ThresholdMaxVal,SpecAutoSpectroMode,SpecCenterWlNm,SpecGlueFlag,SpecGlueStartWlNm,SpecGlueEndWlNm,SpecGlueMinOvrlpNm,SpecGlueFinalResNm,PulserType,CustomChipFlag,XPrePixels,XPostPixels,YPrePixels,YPostPixels,asynen,datatype,PulserMode,PulserOnChipAccums,PulserRepeatExp,PulseRepWidth,PulseRepDelay,PulseSeqStartWidth,PulseSeqEndWidth,PulseSeqStartDelay,PulseSeqEndDelay,PulseSeqIncMode,PImaxUsed,PImaxMode,PImaxGain,BackGrndApplied,PImax2nsBrdUsed,minblk,numminblk,SpecMirrorLocation,SpecSlitLocation,CustomTimingFlag,ExperimentTimeLocal,ExperimentTimeUTC,ExposUnits,ADCoffset,ADCrate,ADCtype,ADCresolution,ADCbitAdjust,gain,Comments,geometric,xlabel,cleans,NumSkpPerCln,SpecMirrorPos,SpecSlitPos,AutoCleansActive,UseContCleansInst,AbsorbStripNum,SpecSlipPosUnits,SpecGrooves,srccmp,ydim,scramble,ContinuousCleansFlag,ExternalTriggerFlag,lnoscan,lavgexp,ReadoutTime,TriggeredModeFlag,Spare_2,sw_version,type,flatFieldApplied,Spare_3,kin_trig_mode,dlabel,Spare_4,PulseFileName,AbsorbFileName,NumExpRepeats,NumExpAccums,YT_Flag,clkspd_us,HWaccumFlag,StoreSync,BlemishApplied,CosmicApplied,CosmicType,CosmicThreshold,NumFrames,MaxIntensity,MinIntensity,ylabel,ShutterType,shutterComp,readoutMode,WindowSize,clkspd,interface_type,NumROIsInExperiment,Spare_5,controllerNum,SWmade,NumROI,ROIinfblk,FlatField,background,blemish,file_header_ver,YT_Info,WinView_id,xcalibration,ycalibration,Istring,Spare_6,SpecType,SpecModel,PulseBurstUsed,PulseBurstCount,PulseBurstPeriod,PulseBracketUsed,PulseBracketType,PulseTimeConstFast,PulseAmplitudeFast,PulseTimeConstSlow,PulseAmplitudeSlow,AnalogGain,AvGainUsed,AvGain,lastvalue
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse1_CTXDSPHICG_belly_t1_bNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'19Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79AFCC0>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79AFD40>,0,b'134508',b'174508',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79AFDC0>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79AFE40>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79AFEC0>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79AFF40>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CB040>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CB0C0>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse1_CTXDSPHICG_belly_t1_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'19Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CB1C0>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CB240>,0,b'134424',b'174424',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CB2C0>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CB340>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CB3C0>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CB440>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CB4C0>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CB540>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_brain_t96h_fNIR.SPE,5,1,0,320,1,0.5,0,0,256,b'23Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CB640>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CB6C0>,0,b'135127',b'175127',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CB740>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CB7C0>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CB840>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,0.800000011920929,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CB8C0>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\500ms_1MHz_float_20200606.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CB940>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CB9C0>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_exvivo_t96h_fNIR.SPE,5,1,0,320,1,0.5,0,0,256,b'23Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CBAC0>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CBB40>,0,b'134721',b'174721',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CBBC0>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CBC40>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CBCC0>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,0.800000011920929,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CBD40>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\500ms_1MHz_float_20200606.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CBDC0>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CBE40>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_full_t20h1_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'20Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CBF40>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CD040>,0,b'094752',b'134752',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CD0C0>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CD140>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CD1C0>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CD240>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CD2C0>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CD340>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_full_t20h2_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'20Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CD440>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CD4C0>,0,b'095042',b'135042',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CD540>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CD5C0>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CD640>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CD6C0>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CD740>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CD7C0>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_full_t20h_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'20Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CD8C0>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CD940>,0,b'094722',b'134722',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CD9C0>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CDA40>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CDAC0>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,0,0,0,0,50.0,1,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CDB40>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CDBC0>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CDC40>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_full_t48h1_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'21Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CDD40>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CDDC0>,0,b'122459',b'162459',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CDE40>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CDEC0>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CDF40>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,0,0,0,0,50.0,1,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CF040>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CF0C0>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CF140>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_full_t48h2_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'21Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CF240>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CF2C0>,0,b'122728',b'162728',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CF340>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CF3C0>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CF440>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,0,0,0,0,50.0,1,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CF4C0>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CF540>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CF5C0>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
C:/Users/pshcher/git-pavelshcherban/SPE-Test/images\Mouse2_CTXDSPHICG_full_t48h_fNIR.SPE,5,1,0,320,1,0.20000000298023224,0,0,256,b'21Oct2020',0,b'',-1,-100.0,123,320,0,5.0,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,4,31,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,2,5,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CF740>,<pyWinSpec.winspec.c_short_Array_4 object at 0x000001C7B79CF7C0>,0,b'122217',b'162217',3,110,11,9,4,0,0,<pyWinSpec.winspec.c_char_Array_5_Array_80 object at 0x000001C7B79CF840>,0,b'Pixel',3,256,<pyWinSpec.winspec.c_short_Array_2 object at 0x000001C7B79CF8C0>,<pyWinSpec.winspec.c_float_Array_4 object at 0x000001C7B79CF940>,0,0,0,0,0.0,0,256,1,0,0,-1,1,84.11419677734375,0,b'',b'2.6.24 Jan2017',19,0,b'',0,b'Intensity',b'',b'',b'',0,0,0,1.2000000476837158,0,1,0,0,0,50.0,50,0.0,0.0,b'Strip',1,0.0,1,1,2,20,1,b'',1,2,1,<pyWinSpec.winspec.ROIinfo_Array_10 object at 0x000001C7B79CF9C0>,b'',b'C:\\Users\\Belcher\\Desktop\\Background\\200ms_1MHz_float_20200811.SPE',b'',2.200000047683716,b'',19088743,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CFA40>,<pyWinSpec.winspec.AxisCalibration object at 0x000001C7B79CFAC0>,b'',b'',0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,3,0,0,21845
